,Unnamed: 0,tweet,target
2432,2432,Avoid facial cleansers containing harsh chemicals which irritate and weaken the protective barrier of skin. Use natural cleansers.,0
1069,1069,146    ?????????????????????????????????????????????????????????  ????????????????????????????????????????????????????????????????????????????????????????????? ??????????????????????????????????????????????????? ???????????????????????????????????   ????????????????????????????????????????????.......,0
1357,1357,You let me drown in my own tears which held everything I hated and regretted. I once loved you. How could you? ,0
1727,1727,Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,0
1950,1950,bro why is everyone so  and blacked out? i was gone for 5 hours and all hell broke loose,0
3052,3052, little miss Debbie downer over here.,0
2047,2047,And so she drinks to numb the pain away because it's easier this way. This way she has control.  ,0
452,452,@TimHortons Please please PLEASE make your jalapeño jack sandwich a regular! I LOOOVE it!!! ,0
296,296,Snorkel time #fury key west,0
252,252,@mrosenbaum711 Happy Birthday 🎈🎊🎁 Have an awesome filled day of awesomeness.,0
285,285,Living downtown for the first time while #tiff is happening. Schedule is out today! #excitement #thechildrenact #StanleyTucci #EmmaThompson,0
1384,1384,wen u post '' one time  pic.twitter.com/L8up5r4D7v,0
544,544, can feel ever so painful. And stigma prevents honesty about problems. Let's keep the difficult conversations going x  pic.twitter.com/DwXfpvI3iX,0
770,770,these gloomy days outside have me like 😍🖤,0
2048,2048,"Your  perseveres. Good luck in Mercury Awards, darling @ANOHNItweets   pic.twitter.com/is67imvghq",0
3049,3049,Woke up to my neighbors singing Perfect by Ed Sheeran. 😊 My mood has been set. 😍,0
387,387,"Damn, y'all flamin' him. 😂\n\nI just thought it was funny. 😂😂",0
2003,2003,"There's no one right way to live life but: be kind, be genuine, be honest, be open. #Love yourself &amp; #laugh often. #Mindfulness @HealingMB",0
990,990,108  ??????????????????????????????????????????????????????   ???????????? ????????????.......????????????   ??????????????????? ????????????????????   ?????????????????????????????????????????????????????????????????????????????????????????????????????????????????   ???????????  pic.twitter.com/v7HSPlUyft,0
1914,1914,"Playing at July 11, 2017 at 09:30PM: Special '20 ",0
2178,2178,We want to help you with your . Give our office a call to learn how  may be the treatment you've been waiting for!,0
1436,1436,if i'd known it was going to go from 78 & sunny yesterday to 61 & cloudy today i still wouldn't have done anything differently ,0
2287,2287,You try hard to forget the person whom you loved more than yourself.    pic.twitter.com/SzLSq8MsNQ,0
1764,1764,Anybody wanna switch places with me and go back to Hawaii tomorrow?!,0
1414,1414,"The  lost the , seats in both House and Senate, in votes by the people. Clearly rejecting this notion of .",0
2004,2004,Bui Bui Ah Boi dressed and acting like an uncle his eyes glued to the phone screen Sitting down at the first free seat,0
564,564,Laying in bed listening to Christmas music...,0
243,243,Why we loose hope in ourself When people demotivate us...,0
1514,1514,You hold my every moment you calm my raging seas you walk with me through fire and heal all my disease 💕💕💕❤❤,0
173,173,Real happiness comes from the person who you truly love the most.. 😍 #071117,0
2832,2832,The  people are often also the most .,0
2843,2843,Halloweentown was my fave Halloween movie.   :'),0
1291,1291,I appreciate the 8 day paid vacation from my job but...i still don't want to return. I feel like quitting but I can't. ,0
1930,1930,I'm BEYOND entertained 😂 and in this case it's a sad thing to witness 😂😂 watch and loving the dms 😘 #flattered #cantdoitlikeme #poorthing 😋,0
187,187,"With ageing populations at risk of  and  (and depression's myriad health effects so higher healthcare costs), as well as rising childcare costs, approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com/QouBTSRhR6",0
695,695,"The dictionary words for #joy are – gladness, cheerfulness, exultation, rapture, pleasure, delight.",0
795,795,Robert looks like a lesbian   ,0
1318,1318,@DobreLucas You always make me smile 😌,0
2827,2827,Reading and watching the fault in our stars in the space of a week wasn't the best idea  ??????Œ ,0
799,799,I miss her so much ???© ,0
3010,3010,Really enjoying candles and incense around the house at the moment - brings a sense of calm 💆🏽 #candles #incense,0
818,818,All these David Brooks sandwich tweets are much-needed comic relief. #hilarious #sopressatta,0
110,110,"@magicpencil I'd just whip up a cake batter or cookies &amp; throw it in 😀 bakewell, frangipani is made with almonds",0
1812,1812,@GaryClarkJr  seriously best turn out for blues i have ever seen. #amazing,0
968,968,". Thinking, Am I where I am supposed to be?  If yes why do I feel so  and ?",0
772,772,#Bible reading today shows us the Lord has done #great things for us &amp; we are glad. Our mouth is filled with #laughter &amp; tongue with singing,0
2439,2439,Happy new year to everyone and all the best for 2015  ,0
1954,1954," is caused by low serotonin. Serotonin motivates, hence why depressed people have no motivation. Activity creates serotonin",0
760,760,#NAME?,0
1882,1882,"My littlest brother is leaving for  tonight. Only like 1-2hours left with him.???????Happy for him,  he is moving.",0
1546,1546,@HUUEducation Thanks! Happy there are other sabbs here. Hope we can talk at lunch :),0
1370,1370,"I'm now casting for potential  for my ""Learning to swim"" photography project about .  pic.twitter.com/rnJp6UX2eV",0
2440,2440,Oh Canada 🇨🇦 shouldn't be sung like that. #terrible #MLBTHESHOW17,0
1187,1187,"@ChikagaiHeichou Carla took Eren over to a bench so he could sit down again, sensing his weariness she thought it would be best if he »",0
365,365,I'm stuck around 885 for so long  I haven't gained a follow today! 1!!1!1!1!  Im  now  Gonna   /s,0
2105,2105,"Where there is the “need” for , there is ! For the strong, it is a false hope. And for the weak, it is no hope.",0
517,517,"""Me Before You"" has me crying my eyes out right now ",0
1120,1120,"Hello everyone! it's 6:30 in the #morning, the #sun is just rising in #DominicanRepublic, hope you have a great #day #today! keep .",0
2518,2518,"actually - EACH. AND. EVERY. GODDAMN. SONG. on the album is the strongest, sadest, and most beautiful song ever. <3  ",0
856,856,149    ????????????????????????  ??????????????????????????????????w  ?????????????????????.......   ??????????????????????????????????????????????????????  ????????????????????????????????????  ?????????????????????????  ??????????????????????????????????????????????????????????????????????????????   ???????????????????????????  pic.twitter.com/Q2vTLYkGYm,0
3029,3029,@annarxbs @lolitsluan oh my lord I love you both with all of my heart. I feel so good and happy and you make it possible xx,0
2934,2934,"At least  is over 26 minutes ago, but the effects of the Twitter torture still lingers inside of me. , .",0
2785,2785,After marathoning Chuck on Netflix I've finally finished it and now I'm depressed. Damn you  !!!  ?,0
47,47,Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,0
675,675, is more harmful than you may think!  pic.twitter.com/T4n5L9kdYz,0
2921,2921,This Ole Miss game is depressing to watch   ,0
1006,1006,"@mcmalveiro Hi Miguel, that's awesome! Thank you very much for updating us! 😄 -Claire",0
2915,2915,Mindfulness Therapy is the application of depression for healing  and  and emotional pain. This is a very powerful approach once you have learned how to do this.,0
1429,1429,@KillingTheTown is always awesome. But having @ShaneHelmsCom on too? That makes it #tremendous,0
1463,1463,u can get an oreo shake at burger king,0
677,677,"Ground control to Captain Tom, eclipse was mind blowing #solareclipse2017 ",0
368,368,@WxLadyFelicia @WPTV @FOX29WFLX @cityofboynton That's a horrible picture cause it makes me jealous I am not there.,0
970,970,Good morning. ❤️ Start every #morning by waking up and thinking of the things you're #grateful for. 🙏 #goodmorning,0
2617,2617,Strapless wedding dresses look awful on most people. \nJulianne Hough looked great 👌🏼,0
829,829,How is it that a  and  person can plan better for life than the people who wanna live?!,0
2603,2603,"Do #you #said, people never cross the 10! #serious",0
844,844,I’ve done enough today time 2 he,0
876,876,129   ????????????????????????????????????   ????????????????????????????????????????????????....... ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????  ??????????????????????????????????????????????????????????????????.......   ?????????????????????????.......,0
2474,2474,@ddlovato rowing 3000 miles across the Atlantic Ocean with  and  in a fight to  can I get a RT please ??™�??™�??™�,0
924,924,"being an entrepreneur at 18 is a real blessing 🙏🏼 the flexibility, doing what you love, and being the one in charge is #great #blessed",0
1699,1699,Now playing  -  on Total Dance,0
2454,2454,Tu me haces reir. - You make me laugh. 🤣 #laughs #friends #jaja #haha,0
1996,1996,watching my sister's keeper this late was not my best idea ,0
2994,2994,i love his smile,0
473,473,Happier than I have been in a long time \n#happy #smiles #beingme #wifey,0
2867,2867,@shreyaghoshal Waiting for the FV live session #excited #Happy Bdw you have to sings lots of songs for us during this session,0
2475,2475,@16_vica #strange but #amazing but I #love your #pictures 😍,0
1145,1145,Wait. Dont you think that the scarves are actually teaser?,0
575,575,Glad the way eastenders is doing Lee's storyline   ,0
3141,3141,came home to my parents taking down the christmas decorations.,0
2441,2441,"Depression may carry a feeling of worthlessness in which you feel like you can't do anything. This only makes you feel worse about yourself and drags you into an even deeper state of . To push back, set small daily  for yourself that you can accomplish for sure! pic.twitter.com/VhC03lIbpW",0
822,822,if anybody wants to talk im here,0
37,37,Today is already off to a great start..... 🙄 ,0
98,98,@JustinOEarlwood #awesome news for the blues,0
1309,1309,"It eluded us then, but thatâ€™s no matter - tomorrow we will run faster, stretch out our arms farther. . .  ",0
2632,2632,Lady singing really loudly with headphones on making everyone giggle @greateranglia #train #journey #smile,0
979,979,I’m 4 anything that’ll help but gun laws/background checks aren’t enough. We have a  problem n this country. Until we alleviate the unnecessary suffering n this country we will continue 2 experience the consequences. Hurt ppl hurt ppl. Love & support prevents & HEALS,0
1428,1428,One more night in edinburgh would've been perfect ???© ,0
1694,1694,"@NJ_1288 To spread some cheer in your colleagues otherwise dull life? It's like 'hey dude u got no chills, here have some email' 😜",0
1251,1251,"@danabente Well, thank you. Sincerely 😊",0
1921,1921,Good news.  Ten weeks from Friday will be a pretty good day. #carefree,0
2335,2335,Add me on Snapchat! Dm me for my snapcode! #amosc #snapchat #sc #snap,0
3070,3070,"Heard Willy Nelson singing The Scientist and thought, ""So THIS is the original!"" Then discovered he was just covering Coldplay. ",0
1922,1922,@itsjordansroom Good Morning to you as well Miss Jordan!! Have a cheerful day!,0
2787,2787,just watch a revenge movie or write it down in a journal and let it all out,0
2792,2792,deni &amp; i on here be4: known as friendship goals by all our adorable mutuals 💘💗🙆🏻✨!⭐️™\nus now: tweets three times a day about depression,0
1603,1603,"???????????? ???? ???????????????????????????? ???? ???????? ?? ???????????????? ???? ?????? ?????? ??????????????, ?? ???? ?????? ?????? ?????? ??????. ",0
27,27,If youre  youre living in the past. If youre  youre living in the future.  If youre at  youre living in the present,0
1566,1566,@coachforward Respect breeds cooperation whereas fear breeds doubt. Well said,0
2150,2150,A fabulous evening at The Mayflower Theatre watching The Play That Goes Wrong - had us in stitches all evening #veryfunny #laughter,0
1821,1821,"Never stay silent or let anyone intimidate you into silence.  Lets make the world a better, safer place for kids #wallofsilence",0
1501,1501,Going to #BigApple tomorrow! Loving #NJTransit #commute! Wearing #khakis #whiteshirt #maybeblue #brownshoes #macys #joy #jealousyet?\n#usa,0
548,548,"For some, this was the face of the 'Great Depression' ...... ...  pic.twitter.com/duwwvhCKyP",0
2772,2772,"@stephenasmith You made me laugh today when you told a caller to turn up the volume, that you weren't doing the #MarvinGaye thing #levity",0
2133,2133,I'm blessed with a wonderful older sister I'm so happy,0
1316,1316,"What do u mean ur , when u start pissing blood u have my complete permission to be depressed!! Count Ur Blessings!!!",0
1252,1252,I <3 this @ANOHNItweets LP so so much ,0
3153,3153,Won't get to see the Amazing Beautiful adopted mom on New Years Eve didn't see her on Christmas either     :-(,0
1803,1803,148  ??????????????????????   ??????????????????????????????????????????ww  ?????????w   ?????????????????????????????????????????????????????????   ?????????????????????????????????????????????????????   ???????????????????????????????????????,0
765,765,"49 away from 1,000 followers 😀 #whisky #whiskyfun #smiles #humour #giggles",0
2502,2502,God's  is the antidote to . He will never leave us. ,0
2520,2520,"I hate Twitter. Anyone  or  today, here are my . pic.twitter.com/q6kKhO7MCR",0
1180,1180,"In St.Thomas. Can't tweet and watch PLL, wifi sucks. ",0
2009,2009,#happiness is a by- product of an effort to make someone else #happy.  - Gretta Brooker Palmer,0
1948,1948,I am in complete Christmas withdrawl #???¥  ,0
1267,1267,How far a lonely person can go.   pic.twitter.com/GbdKxgZodH,0
78,78, to combat  make your bed in the AM so you're less inclined to get back in it & stay there all day.,0
2417,2417,"#smiles are great investment. The more we collect, the better we feel.. have a nice smiling day... #goodmorning",0
2533,2533,The fact that I'm leaving warm weather and palm trees for negative weather and snow literally could make me cry.  ??Œ´â??ï¸�â�„ï¸� ???­???­???­,0
1219,1219,1-3KohGeーBuddhism verse for cleanse oneself with incense #Buddha,0
61,61,2 more weeks! 😮😊  #painfree,0
776,776,A beautiful day starts with you being cheerful and letting the #joy of the #Lord spring out of you &lt;3\n\nNelly Cruz,0
1580,1580,@FuthieMasina Lol nah u subscrib 4 R60/pm. N pay R3 each day thus anada R90/pm. Lol stream n use de app using ur data. #smiles,0
3143,3143,zayuuum...bey's tatas got huge lol😋 #yummy,0
1086,1086,"Do what makes you happy, be with who makes you smile, laugh as much as you breathe, and love as long as you live! #f4f",0
3065,3065,You won't reach a #goal you hide in a drawer. Keep it in front of your face at all times.  #WednesdayWisdom,0
68,68,145  ????????????????????????????????????????  ???????????????????????????????????  ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????  ??????????????????????????????????????????????????????  ?????????????????????????????????????????????????????????????????????????????????,0
2808,2808,Dro is everything to me ,0
17,17,"If optimism is the ??—� to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. ",0
2777,2777,Maybe this IT chaebol is future Wang So. ,0
1117,1117,115    ???????????????????????????????.....   ?????????????????????????????   ??????????????????????????????    ??????   ??????????????????????????????????????   ?????????????????????????????????    ?????????.......   ???????????????????????????????????????????????????? ?????????????????????????????????????????  pic.twitter.com/5UJzYacFtj,0
2606,2606,"I lost a bet to my nephew, Lucas! This is what I'm wearing for the rest of the day.   pic.twitter.com/Y1H0s3lTmO",0
2373,2373,The best thing about #australianninjawarrior tonight is watching the failed attempts on the bomb slider. #hilarious #laughingsohard 🤣🤣🤣,0
2922,2922,"Really excited to see our team this year, and especially moving in the next 2-3 years when his guys start playing significant minutes.",0
3127,3127,I Barely Tweet???? I Have No Followers????,0
485,485,Great meeting with my great friend and superstar lawyer Bryan Freedman @ftllp .  Such an amazing person who does so much for many. ,0
31,31,@TheSocialCTV I'd never leave the couch again! #excited and #weary ❤️,0
561,561,Happy Birthday @RyanRolison24! Have an AWESOME day! We're keeping up with you on the Cape and you're doing great!,0
2378,2378,"That feeling when you get your drawing tablet, and your not a pro expert manga drawer right off the bat. ",0
1285,1285,To go back in time to the 1st grade so you can walk up and shove your bully on the playground. Little asshole.\n#StupidReasonsToUseTimeTravel,0
2207,2207,@aegyotaetae @oyeakasha One of my favourite clips 😂,0
2709,2709,@jaden_lindner If I acquire a deadly scowl like that I'm going to be pretty happy to be old,0
1433,1433,IN NEED OF My WAVES and little CURLS,0
1470,1470,104  ???????????????????????????  ???????????????????????????????????????????????   ???????????????????  ?????????????????????????????????????????????????????????????   ?????????????????????ww  ???????????????????????????????????????????w   ?????????????   ??????????????????????????????????????????????????????????????????????????????,0
1994,1994,So I fucked up my car ??’” now I can't sleep ,0
2588,2588,Happy birthday @ShanteriaI!! i miss you tons + i'm so excited to be back in florida to hear all about Turkey + to have our 🌮dates!! 💛🎉,0
2788,2788,"@MST3K Punt Bunnies, the only #bunnies you can #punt , #love #laughing #whoisSteveSmith",0
2771,2771,"Anxiety in the heart of man causes depression, But a good word makes it glad.   Proverbs 12:25",0
590,590,Mi stress out...Spanish Town Shopping Centre celebrating 25yrs and mi memba when dem had the groundbreaking   ,0
1982,1982,"@MartinPincot Haha @MartinPincot -  just sent a sext to the vicar with a holy, holy, twist --- My bad 😂\n \n#Fun #joy #laughter \n👿 ..... 😇",0
321,321,Sometimes I wonder if Tom Selleck ever thinks about me and then I remember that Tom Selleck has absolutely no idea who I am.,0
2052,2052,"There's no pine in it, there's no apple in it, Let's call it Pineapple #funny",0
2145,2145,@WILLLANNO Man u r just bitter about Manu making great strides...,0
1217,1217,@cteeezy Lmfao look at it sober . 7102017 says 7102017 backwards lol and that was the date yesterday,0
962,962,@RegPCB I like a world where Love Island drarms is the worst thing I've got to worry about.,0
2466,2466,Dear Emma its my honor to communicate with you directly kindly give me this tremendous opportunity to chat via Whats App 00966504634031 thx,0
3189,3189,"||: I'll stay offline today. Most likely. And Theo, don't hesitate to @ me anytime",0
953,953,Some people make your laugh a little louder. Your smile a little brighter. and your life a little better,0
1745,1745,Start rehearsals for RSC Open Stages Macbeth next Sunday! Should be good if I can get in the mood! ,0
552,552,my 8 year old cousin stopped sharing her location with me,0
2737,2737,Up at 4:30am for an airport run and I'm not even going on holiday! ,0
1130,1130,staying up late because mommies not home   ????,0
1992,1992,"He who. can suppress a moment's anger, may prevent many days' sorrow. Chinese Proverbs\n\n#MakingMEGATurkeyWithMcLisse",0
1250,1250,"“Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up.”\nGalatians 6:9 NIV",0
2442,2442,@bcolonx what you leave me? I just came from DR to this!! ???­ ,0
1738,1738,I'm stuck in a situation ! Wanna get rid of this but ways are closed ! Trapped !     ,0
837,837,When monty and I read a list of all the great people we lost this year   ,0
2913,2913,Even if she is tipsy I love her -Joe     pic.twitter.com/qHSAqDJN9j,0
2088,2088,why in the deepest darkest depths of winter did I look through holiday photos from last summer?  ,0
2577,2577,This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,0
2156,2156,126  ??????????????????????????????4?????????????????????????????????????????????????????????????????????   ???????.......?????????????????????????????  ????????????.......???????   ??????????????????????????????????????????w  ?????????????????????????????????????????????????????????????????????????????????ww   ??????????????????????????????????,0
1144,1144,@RRakoto42 It only took me 39 seconds to fly over Mozambique. #awesomeness,0
1561,1561,It's not always the tears that measure the pain. Sometimes it's the smile we fake.,0
739,739,I was at the beach today. Beautiful beach. Beautiful sand. The sea is great. Don't like jelly fish though.  #messageinabottle,0
2213,2213,Happy birthday @primo_can_dance have a blessed one my G 🎂🍾,0
1405,1405,"""Worrying does not empty tomorrow of its troubles, it empties today of its strength.""    ",0
2336,2336,"God knows why we're  Only he can set us free ""For in much wisdom is much grief and he that increaseth knowledge increaseth sorrow""",0
